tenure,MonthlyCharges,TotalCharges,Contract,Churn
66,30.33,2001.78,One year,No
28,24.9,697.2,Two year,No
19,41.16,782.04,One year,Yes
64,51.83,3317.12,Month-to-month,No
9,98.6,887.4,Two year,No
70,21.13,1479.1,Month-to-month,Yes
6,114.55,687.3,One year,Yes
18,28.45,512.1,Month-to-month,Yes
26,69.27,1801.02,Two year,No
55,117.06,6438.3,Month-to-month,Yes
36,24.78,892.08,Month-to-month,No
35,21.06,737.1,Two year,Yes
67,32.84,2200.28,Two year,No
68,79.62,5414.16,Month-to-month,No
56,85.61,4794.16,Month-to-month,Yes
51,82.28,4196.28,Two year,No
55,77.2,4246.0,One year,No
50,62.23,3111.5,One year,No
7,85.49,598.43,Month-to-month,Yes
19,116.67,2216.73,Two year,Yes
67,96.74,6481.58,One year,Yes
5,109.25,546.25,Month-to-month,Yes
70,105.56,7389.2,Month-to-month,No
4,50.69,202.76,One year,Yes
72,62.08,4469.76,One year,Yes
2,65.32,130.64,Two year,No
25,51.97,1299.25,Two year,Yes
42,97.48,4094.16,One year,No
21,64.89,1362.69,Two year,Yes
8,88.23,705.84,One year,Yes
4,105.2,420.8,Month-to-month,Yes
30,98.5,2955.0,One year,Yes
64,43.76,2800.64,One year,No
11,64.68,711.48,Month-to-month,Yes
67,32.39,2170.13,One year,No
39,47.8,1864.2,Two year,No
67,74.34,4980.78,One year,No
37,69.66,2577.42,Two year,No
67,29.93,2005.31,Two year,No
36,82.02,2952.72,Two year,No
1,103.23,103.23,Two year,No
53,111.43,5905.79,One year,No
45,104.56,4705.2,Month-to-month,Yes
10,25.89,258.9,One year,Yes
35,109.42,3829.7,Two year,No
52,115.03,5981.56,Two year,No
24,79.74,1913.76,One year,No
20,113.1,2262.0,Month-to-month,Yes
42,62.16,2610.72,Two year,No
69,108.86,7511.34,One year,No
10,50.35,503.5,Month-to-month,Yes
41,111.69,4579.29,One year,No
30,98.93,2967.9,One year,Yes
61,36.54,2228.94,One year,No
36,100.46,3616.56,One year,No
54,50.47,2725.38,One year,No
31,108.18,3353.58,One year,No
68,26.42,1796.56,Month-to-month,Yes
32,70.17,2245.44,One year,Yes
6,36.7,220.2,One year,Yes
7,45.63,319.41,One year,Yes
27,113.03,3051.81,Two year,No
49,35.09,1719.41,Month-to-month,Yes
1,76.64,76.64,One year,No
36,104.09,3747.24,One year,No
26,117.79,3062.54,Two year,No
9,26.33,236.97,Two year,No
44,114.01,5016.44,Two year,No
40,102.42,4096.8,Month-to-month,Yes
51,38.86,1981.86,Two year,Yes
43,117.43,5049.49,Two year,Yes
8,54.26,434.08,One year,No
10,38.88,388.8,Two year,No
23,54.02,1242.46,Month-to-month,Yes
4,21.18,84.72,Month-to-month,Yes
9,23.81,214.29,One year,No
14,96.88,1356.32,Month-to-month,No
28,86.82,2430.96,Month-to-month,Yes
27,31.71,856.17,Month-to-month,No
45,113.08,5088.6,Month-to-month,Yes
45,101.35,4560.75,Two year,No
35,37.59,1315.65,One year,No
13,27.61,358.93,Two year,Yes
28,28.93,810.04,Month-to-month,Yes
